标题,时间,来源,新闻内容,责任编辑,新闻网址,图片链接,视频链接
李颖：新基建是高质量发展的经济新基础、未来新投资、治理新抓手,2021/12/4 15:27,人民网,中国科学院大学应急管理科学与工程学院院长李颖在2021数字基建论坛致辞。 人民网 王钰迪摄人民网北京12月4日电 （申佳平）今日，由人民网主办的2021数字基建论坛在北京举行。中国科学院大学应急管理科学与工程学院院长李颖在致辞中表示，近年来，我国新型数字基础设施建设不断提速。与传统基建相比，新基建体现为经济新基础、未来新投资、治理新体系等主要特征。一、数字新基建是推动高质量发展的新基础。“数字经济的发展必须要有相应的基础设施作为基础和保障。目前，我们正在进入以数字化生产力为主要标志的数字经济新阶段，人民赖以生存和发展的物质载体从传统设施向数字设施转变。”李颖指出，融合是这个阶段新型基础设施的重要特征，如工业互联网，既是人机物全面互联的新型网络基础设施，又是智能化发展的新型业态和应用模式，鲜明体现了新一代信息技术与制造业融合的发展特征。二、数字新基建是促进高质量发展的新投资。李颖表示，新基建是中国经济新的增量，面对经济下行压力加大，传统基建投资边际效应下降和产业渗透率下降的挑战，推进新型数字基础设施建设，是我国对冲疫情影响，优化投资结构、刺激经济增长的有效方法。李颖具体指出，从内来看，我国数字新基建将伴随着碳达峰、碳中和的历史进程。在30年时间里实现从碳达峰过度到碳中和，这意味着要用全球历史上最短的时间完成全球最高碳排放强度的降幅，而这需要开展一场广泛而深刻的经济社会的系统性变革。在这场技术产业社会革命中，必然要求建设适应零碳社会的新型的基础设施。一方面有效促进传统领域的数字化、网络化和智能化，加速技术改造和转型升级；另一方面，产生长期性大规模的投资带动效应，带来巨大的市场需求。三、数字新基建是推动治理体系现代化的新抓手。李颖表示，当今世界，全球各类重大突发事件呈多发、频发态势，且危害程度显著增加，世界各国面临的重大威胁和挑战主要存在于自然灾害、技术灾害、公共卫生事件、恐怖袭击、粮食安全、产业链供应链安全等方面，这些重大突发事件对公众生命、健康、财产造成重大损失，对经济社会稳定带来巨大的风险。“基于新型数字基础设施的各类大数据应用将极大增强政府部门精准施策的能力，在平时可以及时有效解决产业链中人员流动存在的痛点、物流运输存在的堵点、中小企业现金流存在的断点、原材料供应方面的卡点，以信息流带动人才流、物资流、资金流和技术流的高效流通，切实提升公共服务水平和社会治理能力。”李颖同时指出，在突发事件发生时，这些应用还可以有效提高应急管理部门在监测预警、监管执法、指挥决策、救援实战和社会动员等方面的能力，有效提升民众的安全感。分享让更多人看到,责编：申佳平、吕骞,http://finance.people.com.cn//n1/2021/1204/c1004-32299650.html,http://finance.people.com.cn//NMediaFile/2021/1204/MAIN202112041730000202235462547.jpg,
云计算市场增长迅速?互联网平台加码企业服务业务,2021/12/3 15:17,人民网,人民网北京12月2日电 （记者孙博洋）近年来，数字经济发展迅速，连续多年保持两位数的增长，成为拉动我国经济增长的重要引擎。据中国信通院发布《中国数字经济发展白皮书（2020）》显示，我国数字经济的规模已经由2005年的2.6万亿，增长到2020年的39.2万亿，按照此增速计算，2021年数字经济的规模或将突破40万亿。业内人士预测，“十四五”期间，5G、云计算、大数据等数字产业将带动超过60万亿元的经济产出。同时，在数字经济发展的同时，各个产业的数字化转型也催生出巨大市场需求。“企业上云”也成为产业数字化转型的重要抓手。据中国信通院今年7月份发布的《云计算白皮书》显示，2020年我国经济稳步回升，云计算市场呈爆发式增长，整体规模达到2091亿元，增速达56.6%。云计算市场也成为包括互联网巨头在内的众多科技企业竞争的蓝海。12月2日，字节跳动旗下的火山引擎在升级为字节跳动企业级技术服务业务板块之后，首次亮相就正式发布全系云产品，包括云基础、视频及内容分发、数据中台、开发中台、人工智能等五大类、共计78项服务。“敏捷开发”是字节跳动多年来为业内称道的技术实践之一，而火山引擎云产品正是这一技术实践的对外输出。字节跳动副总裁杨震原认为，敏捷是企业在移动互联网时代的重要竞争力。字节跳动以敏捷为核心目标构建了云原生架构，支撑着公司业务快速创新、快速迭代。在发布会上，火山引擎宣布，为了建设开放的云生态，将推出“万有计划”，目标是在未来3年联合一千家合作伙伴、助力十万家客户实现数字化转型。据介绍，字节跳动目前的容器实例数达到上千万级别，在线微服务数量超过十万，每日线上变更超过两万次，是国内云原生应用规模最大的企业之一。敏捷开发和数据驱动被业界视为字节跳动快速发展的两大“法宝”，目前都已通过火山引擎的云基础、开发中台、数据中台、A/B测试等产品开放给企业客户，构成从IaaS到PaaS、再到SaaS的完整产品体系。在近年云计算产业的发展过程中，一些企业本来上了云，又选择下云，开始自建数据中心。这种看似倒退的选择，实际上是企业对产品服务性价比的自然选择。据介绍，火山引擎基于字节大规模实践和技术创新，提供了从基础硬件到业务场景的端到端性能优化。以其定制化数据中心为例，平均PUE（总能耗/IT设备能耗）仅为1.16，远低于全球大规模数据中心1.59的PUE均值。据介绍，自2020年6月上线以来，火山引擎从SaaS和PaaS层应用生态出发，将字节跳动的技术工具开放给企业，客户规模增长迅速。火山引擎服务的行业，从早期的互联网和手机行业，扩展到金融、汽车、先进制造、新消费、新零售、文旅、数字化服务等领域。在火山引擎总经理谭待看来，企业客户的需求复杂多样，往往不是一家云厂商能够满足的。火山引擎云需要向不同类型的生态伙伴开放合作，而不是大包大揽地为客户建造“烟囱”。分享让更多人看到,责编：申佳平、高雷,http://finance.people.com.cn//n1/2021/1203/c1004-32298968.html,,
一图读懂《全国气象发展“十四五”规划》,2021/12/3 14:58,人民网,分享让更多人看到,责编：李楠桦、吕骞,http://finance.people.com.cn//n1/2021/1203/c1004-32298937.html,http://finance.people.com.cn//NMediaFile/2021/1203/MAIN202112031535000198889745167.jpg,
国家发改委加强重点区域生态保护和修复中央预算内投资专项管理,2021/12/3 14:43,人民网,人民网北京12月3日电 （申佳平）据国家发展改革委官网消息，为加强重点区域生态保护和修复中央预算内投资专项管理，管好用好项目建设资金，规范建设程序和行为，确保建设质量，充分发挥投资效益，国家发展改革委近日印发《重点区域生态保护和修复中央预算内投资专项管理办法》（以下简称《管理办法》）。按照《管理办法》，申请使用中央预算内投资的重点区域生态保护和修复项目，包括《全国重要生态系统保护和修复重大工程总体规划（2021-2035年）》及其专项建设规划明确的青藏高原生态屏障区、黄河重点生态区（含黄土高原生态屏障）、长江重点生态区（含川滇生态屏障）、东北森林带、北方防沙带、南方丘陵山地带、海岸带等重点区域符合支持方向的生态保护和修复项目（大型风电光伏基地建设范围除外）。其他建设项目，包括国务院或国家发展改革委批准、印发的其他相关规划内的重点区域符合支持方向的生态保护和修复项目。重点区域生态保护和修复中央预算内投资按项目下达。根据不同气候区项目性质和特点、中央和地方事权划分原则、所在区域经济社会发展水平等情况，实施差别化的中央预算内投资政策，统筹加大对中西部等欠发达地区的扶持力度。具体支持方向和标准如下：一、天然林保护与营造林。中央预算内投资支持标准为：人工造乔木林，东、中、西、东北地区分别为700元/亩、800元/亩、900元/亩、900元/亩；人工造灌木林，东、中、西、东北地区分别为300 元/亩、350元/亩、400元/亩、400元/亩；退化林修复，东、中、西、东北地区分别为550元/亩、600元/亩、650元/亩、650元/亩；封山（沙）育林100元/亩、飞播造林160元/亩。二、退化草原修复，中央预算内投资支持标准为：人工草地、人工种草，东、中、西、东北地区分别为300元/亩、300元/亩、350元/亩、350元/亩；围栏封育18元/米、飞播种草50元/亩、草原改良90 元/亩。三、湿地保护修复，主要支持国际重要湿地、国家重要湿地、湿地类型的国家级自然保护区等重要湿地保护基础设施、退化湿地修复、科研监测等建设内容。对符合支持条件的建设内容，中央单位和西藏、新疆生产建设兵团项目，中央预算内投资支持比例为100%，其他地方项目中央预算内投资支持比例为80%。四、荒漠化治理及小型水保设施建设，中央预算内投资支持标准为：工程固沙，东、中、西、东北地区分别为450元/亩、500元/亩、550元/亩、550元/亩；京津风沙源区、岩溶石漠化区等重点区域内水源工程、节水灌溉、谷坊等小型水利水保设施5万元/处。分享让更多人看到,责编：申佳平、高雷,http://finance.people.com.cn//n1/2021/1203/c1004-32298916.html,,
财政部提前下达2022年城乡义务教育补助经费预算1678亿元,2021/12/3 11:32,人民网,人民网北京12月3日电 （记者王震）据财政部网站消息，近日财政部、教育部联合印发通知，提前下达2022年城乡义务教育补助经费预算1678亿元。通知要求，有关省（自治区、直辖市、计划单列市）要结合本地实际足额安排应承担的资金预算，确保政策落实到位。县（区）级财政、教育部门应当落实经费管理的主体责任，切实加强区域内公用经费的统筹安排和使用，兼顾不同规模学校运转的实际情况，向乡镇寄宿制学校、乡村小规模学校、教学点、薄弱学校倾斜，确保学校正常运转。来源：财政部网站同时，各地要严格执行《城乡义务教育补助经费管理办法》，做好2022年预算分解下达相关工作。进一步健全全过程预算绩效管理机制，主管部门和资金使用单位要随同预算资金同步填报绩效目标，同级财政部门加强绩效目标审核，并将绩效目标随同预算同步批复下达，作为绩效监控和评价的重要依据，切实提高财政资金使用效益，防止出现挤占、挪用、虚列、套取补助资金等行为。分享让更多人看到,责编：王震、高雷,http://finance.people.com.cn//n1/2021/1203/c1004-32298784.html,http://finance.people.com.cn//NMediaFile/2021/1203/MAIN202112031130000503642523120.png,
广泛惠及沿线居民货物流通?中老铁路今日全线通车,2021/12/3 10:00,人民网,人民网北京12月3日电 （记者王连香）记者从中国国家铁路集团作为中老友谊标志性工程的中老铁路今日全线正式通车，动车组列车跨越山河，承载着友谊、幸福与机遇，将中老铁路沿线各地紧紧相连。据介绍，中老铁路全长1035公里，连接中国云南昆明和老挝首都万象，是首条以中方为主投资建设、全线采用中国技术标准、使用中国设备并与中国铁路网直接连通的国际铁路。通车后，昆明至万象有望实现直达运输、当日通达，普洱市和西双版纳傣族自治州结束不通铁路的历史，加速辐射区域内人员、货物流通，广泛惠及沿线居民。数据来源：国家铁路集团官方微信公众号分享让更多人看到,责编：王连香、高雷,http://finance.people.com.cn//n1/2021/1203/c1004-32298677.html,http://finance.people.com.cn//NMediaFile/2021/1203/MAIN202112030954000225464331497.jpg,
两年内合计处罚1.4亿元?银行保险股权和关联交易专项整治显成效,2021/12/3 9:47,人民网,"人民网北京12月3日电 （记者杜燕飞）银保监会2日发布消息称，近两年来，银保监会持续开展银行保险股权和关联交易专项整治，严厉打击资本造假、股权代持、利益输送等突出问题，形成有效震慑，处罚违规机构和责任人合计1.4亿元。同时，《银行保险机构关联交易管理办法》有望近期出台，旨在进一步加强关联交易监管，规范银行保险机构关联交易行为，防范不当利益输送风险。关联交易是指银行保险机构与关联方之间发生的利益转移事项。银行保险机构应当按照实质重于形式和穿透原则，识别、认定、管理关联交易及计算关联交易金额。记者了解到，作为银行保险业公司治理的组成部分，2019年银保监会以中小机构为重点，全面排查突出问题和风险，严厉整治虚假出资、股权代持、股东违规干预和不当利益输送等违法违规行为。2020年为巩固前期整治成果，开展银行保险机构股权和关联交易专项整治“回头看”，覆盖4600余家银行保险机构，排查“资本不实、股东不实”违法违规行为，坚决打击挪用、套取、侵占银行保险资金的违法违规行为。据银保监会介绍，经过两年的专项整治，共清退违法违规股东2600多个，处罚违规机构和责任人合计1.4亿元，处罚责任人395人，对部分人员取消任职资格、实施行业禁入。督促银行保险机构内部问责处理相关部门或分支机构360家次，问责个人5383人次，其中党纪、纪律处分674人。分三批次向社会公开66家重大违法违规股东名单。“通过系列举措，银行保险机构股东行为的合规性有所提升，借道关联交易进行利益输送的行为在一定程度上得到遏制。”银保监会表示。业内人士认为，此次关于股权和关联交易专项整治工作的对象包含了银行和保险机构，其中更是提到了要以中小机构为重点，着力查处资本不实，股东不实及通过隐蔽方式向股东输送利益等高风险问题，就是要解决中小银行公司治理存在的股权结构失衡、公司治理架构运转不畅、激励约束机制不健全、信息披露不充分等短板。“银行业应从股东资质、关联交易、组织架构、考核激励等方面着手，完善公司治理体系，理顺公司治理运作机制。”上述人士表示，要对股东资质进行穿透式监管，明确关联交易范围和流程，优化组织架构和业务结构，建立科学的绩效考核体系。与此同时，银保监会表示，《银行保险机构关联交易管理办法》（以下简称《办法》），已完成规章制定的前期工作，有望近期出台。记者注意到，之前银保监会发布的《银行保险机构关联交易管理办法（征求意见稿）》规定了很多禁止性规定，比如，银行保险机构不得通过掩盖关联关系、拆分交易等各种隐蔽方式规避重大关联交易审批或监管要求；银行保险机构不得利用各种嵌套交易拉长融资链条、模糊业务实质，规避监管规定，为股东及其关联方违规融资、腾挪资产、空转套利、隐匿风险等。分析机构认为，《办法》出台后，有利于进一步加强关联交易监管，规范银行保险机构关联交易行为，防范不当利益输送风险。“当前，银行保险机构公司治理改革虽已取得初步成效，但部分公司治理的典型问题如大股东操纵、内部人控制在一些机构依然存在，健全银行业保险业公司治理的任务仍然十分艰巨，必须常抓不懈、久久为功。”银保监会强调,下一步，银保监会将从坚持和加强党的领导、规范大股东行为及关联交易、优化董事会结构和运作机制、提升监管效能等方面，加大监管力度，不断推动银行保险机构公司治理改革取得新成效。分享让更多人看到",责编：王仁宏、高雷,http://finance.people.com.cn//n1/2021/1203/c1004-32298649.html,,
农业农村部：加强直供冬奥农产品生产基地质量安全管控,2021/12/3 9:31,人民网,人民网北京12月3日电 （记者李楠桦）据农业农村部消息，近日，农业农村部召开常务会议，研究保障冬奥会冬残奥会农产品供应和质量安全等工作。农业农村部强调，要把确保冬奥会、冬残奥会农产品稳定供应和质量安全作为一项重大政治任务来抓，按照冬奥组委统一部署，切实履行好应尽职责，保质保量完成各项任务，确保万无一失。会议指出，要加强直供冬奥农产品生产基地质量安全管控，指导地方对直供基地实施驻点监管，配合相关部门做好食源性兴奋剂防控，加大抽检力度，切实保障好冬奥会、冬残奥会、北京和河北张家口农产品供给。积极应对拉尼娜影响，抓好冬春蔬菜生产、流通和质量安全监管工作，确保全国农产品稳定供应和质量安全。分享让更多人看到,责编：李楠桦、吕骞,http://finance.people.com.cn//n1/2021/1203/c1004-32298616.html,,
农业农村部：做好技术指导服务?牢牢守住不发生区域性重大动物疫情的底线,2021/12/3 9:30,人民网,人民网北京12月3日电 （记者李楠桦）据农业农村部消息，近日，农业农村部组织召开全国秋季重大动物疫病防控工作总结会议。会议指出，今年以来，各级农业农村部门按照“保供固安全、振兴畅循环”的工作定位，扎实做好动物防疫工作，全国动物疫情形势总体平稳，未出现区域性重大动物疫情。同时要强化各项防控和监管措施，做好技术指导服务，牢牢守住不发生区域性重大动物疫情的底线，不断夯实畜牧业生产安全、动物产品质量安全、公共卫生安全和生物安全基础。农业农村部介绍， 我国畜禽养殖体量大，动物疫病种类持续增加，防控难度不断加大。非洲猪瘟病毒已在我国定殖，布病等重点人畜共患病有所抬头，周边国家和地区动物疫情多发频发，关键环节监管存在短板漏洞，疫情形势仍然复杂严峻，现实威胁和风险隐患依然很大。会议强调，各地要进一步提高政治站位，坚持问题导向、目标导向和结果导向，坚持外防输入、内防反弹，坚持人病兽防、关口前移，毫不松懈抓好非洲猪瘟等重大动物疫病防控，着力推进高致病性禽流感、布病等重点人畜共患病源头防控。分享让更多人看到,责编：李楠桦、吕骞,http://finance.people.com.cn//n1/2021/1203/c1004-32298612.html,,
前10个月中俄贸易额超去年全年?创历史新高,2021/12/3 9:24,人民网,人民网北京12月3日电 （记者赵竹青）商务部新闻发言人束珏婷2日在网上例行新闻发布会上介绍，今年以来，中俄贸易增势强劲，前10个月双边货物贸易额达1156亿美元，超过去年全年规模，创历史新高。前10个月中俄贸易额超去年全年 创历史新高束珏婷介绍，今年1-10月，我国服务贸易继续保持良好增长态势。服务进出口总额41980.3亿元（人民币，下同），同比增长12.7%；其中服务出口19974.3亿元，增长29%；进口22006亿元，增长1.1%。服务出口增幅大于进口27.9个百分点，带动服务贸易逆差下降67.6%至2031.7亿元，同比减少4247亿元。与2019年同期相比，服务进出口下降5.4%，两年平均下降2.8%，其中出口增长26.6%，两年平均增长12.5%；进口下降23.1%，两年平均下降12.3%。10月当月，我国服务进出口总额4139.7亿元，同比增长24%。主要呈现以下特点：知识密集型服务贸易占比提高。1-10月，我国知识密集型服务进出口18566亿元，增长13.3%，占服务进出口总额的比重达到44.2%，提升0.2个百分点。其中，知识密集型服务出口10060.4亿元，增长16.9%，占服务出口总额的50.4%；出口增长较快的领域是个人文化和娱乐服务、知识产权使用费、电信计算机和信息服务，分别增长33.6%、29.1%、21.7%。知识密集型服务进口8505.5亿元，增长9.3%，占服务进口总额的38.7%。旅行服务进出口继续下降。新冠肺炎疫情对旅行服务进出口的影响仍在持续。1-10月，我国旅行服务进出口6316.8亿元，下降27.7%，其中出口下降39.5%，进口下降26.1%。剔除旅行服务，1-10月我国其他服务进出口增长25%，其中出口增长33.7%，进口增长16.1%；与2019年同期相比，其他服务进出口增长27.9%，其中出口增长40.1%，进口增长16%。共同编制路线图 继续推动双边贸易高质量发展日前，中俄总理以视频方式举行第二十六次定期会晤。束珏婷表示，此次两国总理会晤为中俄新时代全面战略协作伙伴关系发展注入新动力，在经贸方面取得五方面积极成果。在继续推动双边贸易高质量发展上，商务部与俄方编制完成了《中俄货物贸易和服务贸易高质量发展的路线图》，为实现中俄双边贸易额2000亿美元目标作出规划。双方还商定促进跨境电商和服务贸易增长，提升便利化水平，扩大农产品准入，用好展会平台。在继续推动投资和大项目合作取得新突破方面，束珏婷介绍，前10个月，中方对俄直接投资同比增长39.1%。中俄经贸主管部门正在研究升级中俄投资协定可行性。双方还在积极商谈国际月球科研站合作的政府间协定。此外，双方还在推动产业链供应链合作深入发展、积极推进新兴领域合作、全面加强多边领域合作等方面取得积极成果，包括进一步深化能源矿产、农林开发、工业制造、信息通信等领域上下游合作，推动互设机电等类型产业园区。双方商定进一步加强科技创新合作，打造5G、生物医药、绿色低碳、智慧城市等新增长点，以及共同编制中俄在俄罗斯北极地区合作发展路线图等。束珏婷说，下一步，中方将同俄方一道，全面落实两国元首重要共识和本次总理会晤达成的各项成果，进一步发挥政府间合作机制作用，推动双边经贸关系和各领域务实合作朝着更大范围、更宽领域、更深层次发展，不断巩固和深化中俄新时代全面战略协作伙伴关系的内涵。分享让更多人看到,责编：赵竹青、吕骞,http://finance.people.com.cn//n1/2021/1203/c1004-32298608.html,,
水利部：做好“十四五”地下水保护与治理工作?强化地下水取水总量、水位“双控”管理,2021/12/3 9:21,人民网,人民网北京12月3日电 （王仁宏）据水利部消息，水利部近日组织召开2021年地下水管理工作会，深入学习贯彻《地下水管理条例》（以下简称《条例》），明确地下水管理工作思路，部署“十四五”期间地下水管理工作重点任务。会议强调，《条例》的颁布实施，标志着地下水迈入依法严管的新阶段。要求认真学习《条例》，牢固树立法治意识，逐条梳理对照，切实履行各项法定职责，确保《条例》有关内容得到贯彻实施。会议指出，近年来，按照中央决策部署，水利部会同有关部门，组织开展了地下水资源调查评价、地下水保护利用规划制定、地下水超采区和禁限采区划定、地下水取水总量和水位“双控”指标确定等工作，实施南水北调东中线受水区地下水压采，推进华北地区地下水超采综合治理，不断加强地下水取水、水位、禁限采区监管，推进地下水计量监测等，各项工作都取得了明显的进展和成效。对照《条例》，必须清醒看到存在的差距和面临的挑战，地下水取水总量、水位“双控”指标还在确定，地下水取水监管仍需加大力度，取水计量不能满足要求，禁限采区管理需从严从细从紧，部分工作尚无基础，需加快研究推进。会议强调，“十四五”期间，要以贯彻落实《条例》为主线，以水定需、量水而行，强化地下水取水总量、水位“双控”管理，做好地下水保护与治理工作，推动实现地下水可持续利用。一是全面实行地下水取水总量、水位控制。加快确定地下水取水总量、水位“双控”指标，按照“尊重自然、顺应自然、保护自然”的理念，以高度负责的精神，严谨科学的态度，做好“双控”指标确定工作。加强地下水取水工程布局优化调整。地下水水位下降明显的地市，以及取水许可限批的地区，要率先开展优化调整工作。完善地下水水位变化通报机制，传导压力、落实责任。二是切实加强地下水监管。加快推进新一轮超采区划定工作，同步推进地下水禁限采区优化调整。全面加强禁限采监管，严格地下水取水许可管理。组织开展专项执法行动，严厉查处违法行为。三是深入推进地下水超采综合治理。推进京津冀地区、三江平原、黄淮地区、汾渭谷地等11个重点区域地下水超采综合治理，实施华北地区河湖生态环境复苏行动。四是加快《条例》配套制度建设和能力保障。组织制定地下水开发利用管理办法，研究建立地下水储备制度、地下水节约保护利用的诚信档案及信用评价制度等。进一步完善地下水标准规范体系，加快地下水管理信息化进程，实现地下水超采治理及水位变化预警、预判。切实加强人才队伍建设，充分利用现代化手段，不断提升地下水管理能力和水平。分享让更多人看到,责编：王仁宏、吕骞,http://finance.people.com.cn//n1/2021/1203/c1004-32298605.html,,
移动出行首个碳减排团体标准通过专家评审,2021/12/3 8:56,人民网,人民网北京12月2日电 （记者乔雪峰）在双碳大目标下，如何科学测算碳减排项目的减排值，成为推动碳中和的重要手段，而这需要科学、准确的方法和标准支撑。近日，《私人小客车合乘出行项目温室气体减排量评估技术规范》（以下简称《规范》）评审会在京举行，经过充分讨论，《规范》正式通过专家评审。这意味着，移动出行领域首个碳减排团标即将出台，用户参与顺风合乘出行的碳减排值将有望进行科学准确试算。与会专家一致认为，顺风车合乘出行是促进交通运输行业节能减排的有效方式，有助于提升道路通行效率和车辆使用效率、降低温室气体排放，迫切需要减排量核算标准的开发。该《规范》技术内容成熟、指标合理、结构完整、文件齐备，满足团体标准要求，填补了国内核算体系空白，可用于私人小客车合乘出行项目的温室气体减排量核算，为政府和企业决策提供支撑。清华大学教授韦志洪在评审会上表示，“构建绿色低碳交通运输”是“碳达峰十大行动”之一。《规范》的编制，确实是在为交通运输行业碳减排的基础工作、基础建设提供一个强有力支撑。中国认证认可协会李喜俊表示，中国认证认可协会以推动中国认证认可行业发展为宗旨，积极推动团体标准支持行业创新发展，特别是将重点支持碳排放相关团体标准的发展。嘀嗒出行副总裁李金龙表示，顺风车虽然是一项利国利民的事业，但它在节能减排以及城市拥堵治理方面的先进性还没有得到科学阐发，需要建立一套科学的标准，推动顺风车行业把握新发展阶段、贯彻新发展理念、适应新发展格局。分享让更多人看到,责编：王仁宏、高雷,http://finance.people.com.cn//n1/2021/1203/c1004-32298542.html,,
银保监会甘肃监管局同意中国银行兰州分行终止营业,2021/12/1 14:38,人民网,人民网北京12月1日电 （记者罗知之）据银保监会官网消息，11月30日，银保监会甘肃监管局同意中国银行兰州分行终止营业。银保监会发布的《中国银保监会甘肃监管局关于同意中国银行兰州分行终止营业的批复》显示，银保监会甘肃监管局收到《关于中国银行股份有限公司兰州分行终止营业的请示》，按照《中国银保监会中资商业银行行政许可事项实施办法》等有关规定，经审核，同意中国银行兰州分行终止营业。要求该行按规定妥善处理好终止营业后的业务清理移交及其他相关事宜，做好对外公告和解释工作。同时，要求该行自本批复之日起10日内将中国银行兰州分行的《金融许可证》缴回甘肃监管局，及时办理工商、税务变更等手续，并在完成相关手续后1个月内向甘肃监管局报告。公开资料显示，2018年12月29日上午，中国银行兰州分行成立揭牌暨兰州市政府、中国银行甘肃省分行金融合作行动计划签约仪式在中国银行甘肃省分行举行。分享让更多人看到,责编：罗知之、高雷,http://finance.people.com.cn//n1/2021/1201/c1004-32296850.html,http://finance.people.com.cn//NMediaFile/2021/1201/MAIN202112011418000252102107165.png,
落实“零容忍”！一图读懂《证券期货行政执法当事人承诺制度实施办法》,2021/12/1 13:01,人民网,分享让更多人看到,责编：王仁宏、高雷,http://finance.people.com.cn//n1/2021/1201/c1004-32296761.html,,
银保监会：三季度机动车辆保险和普通人寿保险投诉量最多,2021/12/1 10:49,人民网,"人民网北京12月1日电 （记者罗知之） 据银保监会官网消息，近日，银保监会消费者权益保护局通报了2021年第三季度银保监会及其派出机构接收并转送的保险消费投诉情况。数据显示，2021年第三季度，银保监会及其派出机构接收并转送涉及保险公司的保险消费投诉同比增长18.35%，投诉量最多的险种分别为机动车辆保险和普通人寿保险。2021年第三季度，银保监会及其派出机构接收并转送涉及保险公司的保险消费投诉中，涉及财产保险公司16669件，同比增长5.57%，占投诉总量的41.01%；人身保险公司23980件, 同比增长29.23%，占投诉总量的58.99%。人保财险的投诉量位列财产保险公司第一。平安人寿的投诉量位列人身保险公司第一。从相对量指标看，财产保险公司亿元保费投诉量中位数为7.5件/亿元，万张保单投诉量中位数为0.5件/万张；人身保险公司亿元保费投诉量中位数为2.43件/亿元，万张保单投诉量中位数为0.28件/万张，万人次投诉量中位数为0.11件/万人次。阳光信保、安心财险的亿元保费投诉量位列财产保险公司前两位。阳光信保、久隆财险的万张保单投诉量位列财产保险公司前两位。华汇人寿的亿元保费投诉量和万人次投诉量位列人身保险公司第一。信美相互人寿、华汇人寿的万张保单投诉量位列人身保险公司前两位。银保监会表示，投诉反映问题集中在理赔纠纷和销售纠纷。财产保险公司涉及理赔纠纷投诉12131件，占财产保险公司投诉总量的72.78%；销售纠纷投诉1825件，占比10.95%。人保财险的理赔纠纷投诉量位列财产保险公司第一。人保财险、平安财险的销售纠纷投诉量位列财产保险公司前两位。人身保险公司涉及理赔纠纷投诉2685件，占人身保险公司投诉总量的11.2%；销售纠纷投诉10845件，占比45.23%。中国人寿、人民健康、太平洋人寿的理赔纠纷投诉量位列人身保险公司前三位。平安人寿的销售纠纷投诉量位列人身保险公司第一。值得注意的是，财产险公司、人身险公司中投诉量最多的险种分别为机动车辆保险和普通人寿保险。财产保险公司涉及机动车辆保险纠纷投诉10513件，占财产保险公司投诉总量的63.07%；保证保险纠纷投诉1746件，占比10.47%。人保财险的机动车辆保险纠纷投诉量位列财产保险公司第一。人保财险、平安财险的保证保险纠纷投诉量位列财产保险公司前两位。人身保险公司涉及普通人寿保险纠纷投诉9337件，占人身保险公司投诉总量的38.94%；疾病保险纠纷投诉5323件，占比22.2%。平安人寿的普通人寿保险纠纷投诉量位列人身保险公司第一。太平洋人寿、新华人寿、泰康人寿的疾病保险纠纷投诉量位列人身保险公司前三位。分享让更多人看到",责编：罗知之、高雷,http://finance.people.com.cn//n1/2021/1201/c1004-32296688.html,,
财政部提前下达2022年中央引导地方科技发展资金预算20.68亿元,2021/12/1 10:46,人民网,人民网北京12月1日电 （记者王震）据财政部网站消息，近日，财政部印发通知，提前下达2022年中央引导地方科技发展资金预算20.68亿元，统筹用于支持有关省（自治区、直辖市、计划单列市）基础研究、科技创新基地建设、科技成果转移转化和区域创新体系建设等方面。数据来源：财政部网站通知要求，各地应按照有关规定，做好2022年预计数分解下达相关工作。进一步健全全过程预算绩效管理机制，主管部门和资金使用单位要随同预算资金同步填报绩效目标，同级财政部门加强绩效目标审核，并将绩效目标随同预算同步批复下达，作为绩效监控和评价的重要依据，切实提高财政资金使用效益，防止出现挤占、挪用、虚列、套取补助资金等行为。分享让更多人看到,责编：王震、高雷,http://finance.people.com.cn//n1/2021/1201/c1004-32296687.html,http://finance.people.com.cn//NMediaFile/2021/1201/MAIN202112011045000026931064461.png,
财政部提前下达2022年改善普通高中学校办学条件补助资金预算57.78亿元,2021/12/1 10:35,人民网,人民网北京12月1日电 （记者王震）据财政部网站消息，为加快预算执行进度，提高预算编制的完整性，近日，财政部、教育部联合印发通知，提前下达2022年改善普通高中学校办学条件补助资金预算，共计57.78亿元。数据来源：财政部网站通知要求，各地要按照《改善普通高中学校办学条件补助资金管理办法》要求，做好2022年预算分解下达相关工作。进一步健全全过程预算绩效管理机制，主管部门和资金使用单位要随同预算资金同步填报绩效目标，同级财政部门加强绩效目标审核，并将绩效目标随同预算同步批复下达，作为绩效监控和评价的重要依据，切实提高财政资金使用效益，防止出现挤占、挪用、虚列、套取补助资金等行为。分享让更多人看到,责编：王震、高雷,http://finance.people.com.cn//n1/2021/1201/c1004-32296674.html,http://finance.people.com.cn//NMediaFile/2021/1201/MAIN202112011032000507521930621.png,
